id,nombre,equipo,posicion,posicion_detallada,edad,altura,pie_dominante,contrato_hasta,valor_mercado,goles,asistencias,minutos_jugados,valoracion,regates_exitosos,porcentaje_regates_exitosos,pases_clave,tiros_totales,tiros_a_puerta,grandes_ocasiones_creadas,grandes_ocasiones_falladas,pases_ultimo_tercio,porcentaje_pases_acertados,pases_totales,pases_acertados,duelos_aereos_perdidos,intercepciones,entradas,tarjetas_amarillas,tarjetas_rojas,perdidas_de_balon,valoracion_total,conteo_valoraciones,grandes_ocasiones_creadas_por_minuto,pases_ultimo_tercio_por_minuto,grandes_ocasiones_falladas_por_minuto,GeneradorDePeligro
605674,Iñigo Vicente,Real Racing Club,M,"['LW', 'AM']",1998-01-06T00:00:00+00:00,178,Right,1909008000.0,5600000.0,8,18,3050,7.54,46,54.12,136,48,24,38,4,705,76.28,1927,1470,12,20,56,9,0,56,286.6,38,0.012459016393442624,0.23114754098360657,0.0013114754098360656,1
1002405,David Larrubia,Málaga CF,M,"['MR', 'RW']",2002-04-20T00:00:00+00:00,172,Both,1845936000.0,4200000.0,9,3,3009,7.3,100,44.44,48,84,32,8,4,354,80.84,950,768,16,25,105,4,0,58,262.9,36,0.0026586905948820204,0.11764705882352941,0.0013293452974410102,1
922939,Andrés Martín,Real Racing Club,M,['RW'],1999-07-11T00:00:00+00:00,178,Left,1845936000.0,7200000.0,20,9,3189,7.27,44,45.83,85,110,46,20,13,340,71.87,942,677,8,25,26,8,0,66,276.2,38,0.006271558482282847,0.1066164941988084,0.004076513013483851,1
1160969,Brian Cipenga,CD Castellón,F,['LW'],1998-03-11T00:00:00+00:00,169,Right,1782777600.0,2100000.0,6,9,2079,7.21,60,45.11,46,48,21,10,5,293,71.27,616,439,30,9,43,1,0,41,201.9,28,0.00481000481000481,0.14093314093314094,0.002405002405002405,1
813737,Cristian Carracedo,Córdoba,F,['RW'],1995-11-30T00:00:00+00:00,179,Right,1845936000.0,775000.0,3,12,2977,7.21,86,60.56,105,45,17,15,3,546,80.33,1256,1009,20,20,70,9,0,62,266.6,37,0.0050386294927779645,0.18340611353711792,0.001007725898555593,1
910022,Rober González,Real Zaragoza,M,"['AM', 'RW']",2001-01-06T00:00:00+00:00,169,Both,1782777600.0,630000.0,2,1,1248,7.19,19,45.24,22,22,8,7,3,109,74.71,348,260,6,5,35,2,0,28,107.8,15,0.005608974358974359,0.08733974358974358,0.002403846153846154,1
1096950,Yeremay Hernández,Deportivo de La Coruña,M,"['LW', 'ML']",2002-12-10T00:00:00+00:00,169,Right,1909008000.0,23000000.0,11,9,2833,7.14,85,50.9,56,95,32,9,9,385,86.13,988,851,16,20,47,5,1,54,257.2,36,0.0031768443346276033,0.13589834098129192,0.0031768443346276033,1
966836,Álex Sola,Granada,F,"['RW', 'DR']",1999-06-09T00:00:00+00:00,178,Right,1782777600.0,1600000.0,3,3,2577,7.12,57,45.24,43,55,13,10,8,158,72.68,549,399,29,21,62,4,0,48,249.3,35,0.0038804811796662787,0.0613116026387272,0.0031043849437330227,1
1142255,Josep Cerdà,FC Andorra,M,['LW'],2003-02-04T00:00:00+00:00,175,Right,1814313600.0,525000.0,9,3,1260,7.08,28,43.75,13,30,16,5,4,127,85.71,287,246,33,5,10,2,0,34,141.5,20,0.003968253968253968,0.1007936507936508,0.0031746031746031746,1
1094517,Jonathan Dubasin,Sporting Gijón,M,['RW'],2000-02-02T00:00:00+00:00,180,Right,1845936000.0,3800000.0,16,3,2834,7.07,35,58.33,26,61,27,6,12,301,81.35,917,746,51,12,43,4,2,42,247.5,35,0.002117148906139732,0.10621030345800989,0.004234297812279464,1
1580029,Pablo López Gómez,Mirandés,F,['LW'],2006-03-27T00:00:00+00:00,175,Right,1782777600.0,320000.0,1,0,221,7.05,6,50.0,3,9,4,0,1,17,80.43,46,37,2,1,2,0,0,2,28.2,4,0.0,0.07692307692307693,0.004524886877828055,0
966804,Jon Morcillo,Almería,M,"['ML', 'LW']",1998-09-15T00:00:00+00:00,183,Left,1909008000.0,1900000.0,8,5,2001,7.03,35,60.34,47,66,21,15,1,186,73.2,582,426,11,13,14,2,0,19,267.0,38,0.0074962518740629685,0.09295352323838081,0.0004997501249375312,1
346516,Adrián Embarba,Almería,M,"['LW', 'RW']",1992-05-07T00:00:00+00:00,173,Right,1845936000.0,635000.0,14,9,2561,7.01,43,38.74,55,99,40,10,8,262,73.99,769,569,34,19,56,7,1,43,259.5,37,0.003904724716907458,0.1023037875829754,0.0031237797735259665,0
