id,nombre,equipo,posicion,posicion_detallada,edad,altura,pie_dominante,contrato_hasta,valor_mercado,goles,asistencias,minutos_jugados,regates_exitosos,porcentaje_regates_exitosos,pases_clave,tiros_totales,tiros_a_puerta,grandes_ocasiones_creadas,grandes_ocasiones_falladas,pases_ultimo_tercio,porcentaje_pases_acertados,pases_totales,pases_acertados,duelos_aereos_perdidos,intercepciones,entradas,tarjetas_amarillas,tarjetas_rojas,perdidas_de_balon,grandes_ocasiones_creadas_por_minuto,pases_ultimo_tercio_por_minuto,grandes_ocasiones_falladas_por_minuto,GeneradorDePeligro,Puntuacion
811572,José Corpas,Eibar,M,"['RW', 'DR']",34 años,174,Derecho,30/06/2026,485.000 €,5,6,3168,42,40.78,58,58,23,12,5,260,72.92,986,719,41,31,43,14,0,37,0.0037878787878787,0.082070707070707,0.0015782828282828,0,8.661
1518119,Jastin García,FC Andorra,F,['LW'],22 años,180,Derecho,30/06/2026,455.000 €,3,2,1368,43,53.75,21,40,18,8,5,143,78.35,425,333,18,2,20,6,0,30,0.0058479532163742,0.10453216374269,0.0036549707602339,1,6.248
1142596,Salim El Jebari,Mirandés,F,"['LW', 'ST']",22 años,174,Derecho,30/06/2026,390.000 €,1,4,1371,35,53.85,24,19,7,3,1,103,77.34,278,215,21,4,19,3,0,19,0.0021881838074398,0.0751276440554339,0.0007293946024799,1,6.485
106288,Francisco Portillo,Huesca,M,"['AM', 'LW', 'MC']",35 años,169,Derecho,30/06/2026,185.000 €,1,3,2539,23,45.1,44,27,10,5,5,364,84.46,1216,1027,45,11,39,4,0,41,0.0019692792437967,0.1433635289484048,0.0019692792437967,1,8.359
813523,Toni Villa,Eibar,M,"['ML', 'LW']",31 años,171,Derecho,30/06/2026,285.000 €,0,2,286,3,37.5,11,4,1,2,0,46,77.61,134,104,5,2,10,2,0,5,0.0069930069930069,0.1608391608391608,0.0,0,4.709
566894,Stoichkov,Deportivo de La Coruña,F,"['ST', 'LW', 'AM']",32 años,178,Derecho,30/06/2026,485.000 €,5,3,1633,11,42.31,20,30,13,8,3,95,71.72,343,246,28,3,24,5,0,15,0.0048989589712186,0.058175137783221,0.0018371096142069,0,4.905
1516812,Ali Houary,Mirandés,M,['LW'],20 años,178,Derecho,30/06/2026,310.000 €,0,1,642,10,52.63,6,17,4,1,0,61,79.54,259,206,7,4,24,1,1,0,0.0015576323987538,0.0950155763239875,0.0,0,4.82
