id,nombre,equipo,posicion,posicion_detallada,edad,altura,pie_dominante,contrato_hasta,valor_mercado,goles,asistencias,minutos_jugados,valoracion,regates_exitosos,porcentaje_regates_exitosos,pases_clave,tiros_totales,tiros_a_puerta,grandes_ocasiones_creadas,grandes_ocasiones_falladas,pases_ultimo_tercio,porcentaje_pases_acertados,pases_totales,pases_acertados,duelos_aereos_perdidos,intercepciones,entradas,tarjetas_amarillas,tarjetas_rojas,perdidas_de_balon,valoracion_total,conteo_valoraciones,regates_intentados,porcentaje_tiros_a_puerta,porcentaje_pases_clave,goles_por_90,asistencias_por_90,regates_exitosos_por_90,pases_clave_por_90,tiros_totales_por_90,tiros_a_puerta_por_90,grandes_ocasiones_creadas_por_90,grandes_ocasiones_falladas_por_90,pases_ultimo_tercio_por_90,pases_totales_por_90,pases_acertados_por_90,duelos_aereos_perdidos_por_90,intercepciones_por_90,entradas_por_90,perdidas_de_balon_por_90,regates_intentados_por_90,valor_mercado_fmt,perdidas_de_balon_por_90_invertido,grandes_ocasiones_falladas_por_90_invertido,regates_intentados_por_90_pctl,porcentaje_regates_exitosos_pctl,tiros_totales_por_90_pctl,porcentaje_tiros_a_puerta_pctl,goles_por_90_pctl,pases_clave_por_90_pctl,porcentaje_pases_clave_pctl,grandes_ocasiones_creadas_por_90_pctl,asistencias_por_90_pctl,jugador_seguro,REGATEADOR,FINALIZADOR,CREADOR
1526648,Sergio Rodelas,Granada,F,['LW'],21 años,168,Zurdo,30/06/2028,875000.0,0,1,590,6.68,16,53.33,12,14,4,4,1,40,68.86,167,115,10,5,20,2,0,8,167.1,25,30.0,28.57142857142857,7.18562874251497,0.0,0.1525423728813559,2.440677966101694,1.830508474576271,2.135593220338983,0.6101694915254237,0.6101694915254237,0.1525423728813559,6.101694915254237,25.47457627118644,17.542372881355934,1.5254237288135593,0.7627118644067796,3.0508474576271185,1.220338983050847,4.576271186440678,875.000 €,54.761904761904766,61.904761904761905,82.14285714285714,82.14285714285714,57.14285714285714,23.809523809523807,7.738095238095238,83.33333333333334,82.14285714285714,94.04761904761905,60.71428571428571,False,76.67,35.33,68.15
1210425,Kenneth Mamah,CD Castellón,M,"['RW', 'MR']",28 años,182,Derecho,30/06/2027,645000.0,1,0,465,6.68,5,45.45,4,8,3,0,1,57,82.32,181,149,0,5,10,1,0,5,80.2,12,11.0,37.5,2.209944751381215,0.1935483870967742,0.0,0.967741935483871,0.7741935483870968,1.5483870967741935,0.5806451612903226,0.0,0.1935483870967742,11.032258064516128,35.03225806451613,28.838709677419356,0.0,0.967741935483871,1.935483870967742,0.967741935483871,2.129032258064516,645.000 €,70.23809523809523,51.19047619047619,26.190476190476193,52.38095238095239,25.0,57.738095238095234,55.952380952380956,14.285714285714285,5.952380952380952,4.166666666666666,8.333333333333332,True,42.86,49.2,18.01
1031637,Gaspar Campos,Sporting Gijón,M,"['LW', 'ML']",26 años,175,Derecho,30/06/2028,2200000.0,5,2,1923,6.66,31,54.39,17,51,20,5,4,240,82.48,628,518,24,14,37,3,0,38,219.8,33,57.0,39.21568627450981,2.7070063694267517,0.2340093603744149,0.093603744149766,1.4508580343213728,0.7956318252730109,2.386895475819033,0.93603744149766,0.2340093603744149,0.187207488299532,11.23244929797192,29.39157566302652,24.243369734789393,1.1232449297971918,0.6552262090483619,1.7316692667706708,1.7784711388455536,2.667706708268331,2.200.000 €,19.047619047619047,52.38095238095239,46.42857142857143,86.90476190476191,67.85714285714286,66.07142857142857,67.85714285714286,15.476190476190476,13.095238095238097,46.42857142857143,39.285714285714285,False,53.1,60.39,26.96
1134395,Naim García,Leganés,M,['RW'],24 años,179,Zurdo,30/06/2027,825000.0,2,2,2167,6.66,29,48.33,39,35,11,6,2,138,78.6,584,459,19,13,29,4,0,19,213.0,32,60.0,31.428571428571427,6.678082191780822,0.0830641439778495,0.0830641439778495,1.2044300876788183,1.6197508075680669,1.453622519612367,0.4568527918781725,0.2491924319335487,0.0830641439778495,5.731425934471621,24.25473004153207,19.06322104291647,0.7891093677895709,0.5399169358560222,1.2044300876788183,0.7891093677895709,2.491924319335487,825.000 €,82.14285714285714,73.80952380952381,38.095238095238095,59.523809523809526,19.047619047619047,30.952380952380953,23.809523809523807,69.04761904761905,70.23809523809523,50.0,30.952380952380953,True,53.33,37.02,60.71
826003,Jordi Mboula,Cultural Leonesa,F,['RW'],27 años,182,Ambidiestro,N/D,455000.0,0,1,484,6.65,5,41.67,9,8,3,2,0,31,76.61,124,95,3,2,11,0,0,7,79.8,12,12.0,37.5,7.258064516129033,0.0,0.1859504132231405,0.9297520661157024,1.6735537190082646,1.487603305785124,0.5578512396694215,0.371900826446281,0.0,5.7644628099173545,23.057851239669414,17.66528925619835,0.5578512396694215,0.371900826446281,2.0454545454545454,1.3016528925619837,2.231404958677686,455.000 €,46.42857142857143,94.64285714285714,29.761904761904763,33.33333333333333,20.238095238095237,57.738095238095234,7.738095238095238,75.0,83.33333333333334,70.23809523809523,71.42857142857143,False,34.17,35.27,70.24
1547308,Efe Ugiagbe,Huesca,F,['LW'],22 años,178,Derecho,30/06/2026,,1,0,553,6.65,25,53.19,1,11,2,0,2,38,75.76,132,100,9,6,8,1,0,16,132.9,20,47.0,18.181818181818183,0.7575757575757576,0.162748643761302,0.0,4.06871609403255,0.162748643761302,1.790235081374322,0.325497287522604,0.0,0.325497287522604,6.184448462929476,21.482820976491865,16.2748643761302,1.464737793851718,0.976491862567812,1.301989150090416,2.603978300180832,7.649186256781194,N/D,3.571428571428571,20.238095238095237,100.0,80.95238095238095,34.523809523809526,7.142857142857142,47.61904761904761,1.1904761904761905,1.1904761904761905,4.166666666666666,8.333333333333332,False,75.0,29.76,3.36
1605227,Aingeru Olabarrieta,FC Andorra,M,['RW'],20 años,182,Zurdo,30/06/2026,855000.0,1,0,1166,6.64,29,46.77,13,32,7,1,0,124,80.58,345,278,4,4,8,5,0,10,179.4,27,62.0,21.875,3.768115942028986,0.0771869639794168,0.0,2.2384219554030875,1.0034305317324186,2.469982847341338,0.5403087478559176,0.0771869639794168,0.0,9.571183533447684,26.629502572898797,21.457975986277873,0.3087478559176672,0.3087478559176672,0.6174957118353345,0.7718696397941681,4.785591766723842,855.000 €,83.33333333333334,94.64285714285714,85.71428571428571,57.14285714285714,72.61904761904762,8.928571428571429,21.428571428571427,32.142857142857146,29.761904761904763,10.714285714285714,8.333333333333332,True,76.67,49.52,30.54
1398515,Aisar Ahmed,AD Ceuta,D,"['DR', 'RW']",25 años,172,Derecho,30/06/2026,650000.0,0,2,2772,6.64,10,32.26,22,14,2,1,2,186,79.14,863,683,25,39,41,5,1,17,239.0,36,31.0,14.285714285714285,2.549246813441483,0.0,0.0649350649350649,0.3246753246753247,0.7142857142857142,0.4545454545454546,0.0649350649350649,0.0324675324675324,0.0649350649350649,6.038961038961039,28.01948051948052,22.17532467532467,0.8116883116883117,1.2662337662337664,1.331168831168831,0.551948051948052,1.0064935064935066,650.000 €,90.47619047619048,79.76190476190477,2.380952380952381,11.904761904761903,3.571428571428571,4.761904761904762,7.738095238095238,11.904761904761903,9.523809523809524,8.333333333333332,23.214285714285715,True,22.86,25.33,24.14
1134538,Mateo Mejía,Burgos Club de Fútbol,M,['RW'],23 años,188,Derecho,30/06/2028,410000.0,3,0,466,6.64,3,50.0,2,12,4,0,0,16,71.93,57,41,10,1,8,4,0,3,112.8,17,6.0,33.33333333333333,3.508771929824561,0.5793991416309013,0.0,0.5793991416309013,0.3862660944206008,2.317596566523606,0.7725321888412017,0.0,0.0,3.0901287553648067,11.008583690987123,7.918454935622318,1.931330472103004,0.1931330472103004,1.5450643776824031,0.5793991416309013,1.158798283261803,410.000 €,89.28571428571429,94.64285714285714,3.571428571428571,63.69047619047619,63.095238095238095,38.095238095238095,96.42857142857143,3.571428571428571,26.190476190476193,4.166666666666666,8.333333333333332,False,38.75,78.36,10.68
790833,Sergi Canós,Real Valladolid,M,"['LW', 'ML', 'MR']",29 años,173,Derecho,30/06/2026,840000.0,2,1,995,6.63,8,34.78,20,28,8,1,0,87,72.22,324,234,4,8,25,4,0,11,139.3,21,23.0,28.57142857142857,6.172839506172839,0.1809045226130653,0.0904522613065326,0.7236180904522613,1.809045226130653,2.532663316582915,0.7236180904522613,0.0904522613065326,0.0,7.869346733668342,29.306532663316585,21.165829145728644,0.3618090452261306,0.7236180904522613,2.261306532663317,0.9949748743718594,2.080402010050251,840.000 €,69.04761904761905,94.64285714285714,25.0,16.666666666666664,77.38095238095238,23.809523809523807,53.57142857142857,82.14285714285714,65.47619047619048,13.095238095238097,36.904761904761905,False,31.31,62.77,43.63
